zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,tot_pr_1,tot_rv_1,tot_pr_2,tot_rv_2,tot_pr_3,tot_rv_3,tot_pr_4,tot_rv_4,zero_check
68047,Pender,NE,42.11153385,-96.7059802,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,57136,1616,367,106,54,237689,59279,74.09875,1,1,1,1,0,0,0,0,4
68144,Omaha,NE,41.235191826493825,-96.11977121141878,41,1077,24,1892,1,173,0,0,9,101,47,288,8,74,3,10,1,5,6,46,0,0,0,0,12620,852170,63120,16579,2256,942,3597207,935067,74.09405705229794,51,1183,77,2226,9,247,3,10,3806
68341,De Witt,NE,40.39,-96.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,26733,1246,165,28,0,95881,28172,58.69166666666667,0,0,0,0,0,0,0,0,0
68431,Rulo,NE,40.05,-95.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,7057,163,0,0,0,20854,7220,48.13333333333333,0,0,0,0,0,0,0,0,0
68455,Union,NE,40.81,-95.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,22638,2228,441,56,0,89318,25363,81.81612903225806,0,0,0,0,0,0,0,0,0
68643,Leigh,NE,41.7,-97.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,25220,678,78,17,0,92054,25993,63.39756097560976,0,0,0,0,0,0,0,0,0
68757,Newcastle,NE,42.65,-96.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,15651,755,40,6,0,52982,16452,53.07096774193547,0,0,0,0,0,0,0,0,0
68812,Amherst,NE,40.83758,-99.27096,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,19074,511,133,21,0,69266,19739,56.39714285714286,1,4,0,0,0,0,0,0,5
68850,Lexington,NE,40.77036026622649,-99.74239075882231,9,136,3,71,0,0,0,0,1,1,1,6,1,5,0,0,1,3,0,0,0,0,0,0,5940,243475,8428,1357,304,47,839883,253611,42.695454545454545,11,140,4,77,1,5,0,0,238
68862,Ord,NE,41.590492174545545,-98.95184811572264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,66841,3710,502,76,0,248565,71129,54.2969465648855,0,0,0,0,0,0,0,0,0
