zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long,db_city
68850,Lexington,NE,localservices,1,3,0,0,0,0,0,0,40.7457776274536,-99.7415685653687,Lexington
68862,Ord,NE,restaurants,0,0,0,0,0,0,0,0,41.59049217454555,-98.95184811572264,Ord
68862,Ord,NE,shopping,0,0,0,0,0,0,0,0,41.6,-98.92,Ord
68862,Ord,NE,localservices,0,0,0,0,0,0,0,0,41.60183,-98.92878,Ord
68935,Edgar,NE,restaurants,1,1,0,0,0,0,0,0,40.3705682605505,-97.9699809104204,Edgar
68935,Edgar,NE,shopping,0,0,0,0,0,0,0,0,40.3720085957157,-97.9736633664094,Edgar
68935,Edgar,NE,localservices,0,0,0,0,0,0,0,0,40.36,-97.97,Edgar
68940,Funk,NE,restaurants,0,0,0,0,0,0,0,0,40.46,-99.24,Funk
68940,Funk,NE,shopping,0,0,0,0,0,0,0,0,40.46,-99.24,Funk
68940,Funk,NE,localservices,0,0,0,0,0,0,0,0,40.46,-99.24,Funk
68941,Glenvil,NE,restaurants,0,0,0,0,0,0,0,0,40.5,-98.25,Glenvil
68941,Glenvil,NE,shopping,0,0,1,2,0,0,0,0,40.481361,-98.244191,Glenvil
68941,Glenvil,NE,localservices,0,0,0,0,0,0,0,0,40.5,-98.25,Glenvil
68958,Loomis,NE,restaurants,0,0,0,0,0,0,0,0,40.47,-99.5,Loomis
68958,Loomis,NE,shopping,0,0,0,0,0,0,0,0,40.47,-99.5,Loomis
68958,Loomis,NE,localservices,0,0,0,0,0,0,0,0,40.47,-99.5,Loomis
69022,Cambridge,NE,restaurants,1,5,1,4,0,0,0,0,40.282120750000004,-100.16497385,Cambridge
69022,Cambridge,NE,shopping,0,0,0,0,0,0,0,0,40.2823156,-100.1662892,Cambridge
69022,Cambridge,NE,localservices,0,0,0,0,0,0,0,0,40.28,-100.17,Cambridge
69034,Indianola,NE,restaurants,0,0,0,0,0,0,0,0,40.23502,-100.41684,Indianola
69034,Indianola,NE,shopping,0,0,0,0,0,0,0,0,40.23,-100.41,Indianola
69034,Indianola,NE,localservices,0,0,0,0,0,0,0,0,40.23,-100.41,Indianola
89008,Caliente,NV,restaurants,2,52,1,9,0,0,0,0,37.61285663907273,-114.51546266267133,Caliente
89008,Caliente,NV,shopping,0,0,0,0,2,2,0,0,37.61964816418905,-114.51175920238,Caliente
89008,Caliente,NV,localservices,1,1,0,0,0,0,0,0,37.614623345974,-114.509552813773,Caliente
89110,Las Vegas,NV,restaurants,40,2047,20,1243,0,0,0,0,36.171272062689525,-115.06756263870373,Las Vegas
89110,Las Vegas,NV,shopping,9,96,24,298,4,23,1,12,36.16858991644742,-115.06721452793116,Las Vegas
89110,Las Vegas,NV,localservices,4,42,1,2,0,0,0,0,36.17220362722449,-115.07338642769061,Las Vegas
89130,Las Vegas,NV,restaurants,33,1696,20,4517,1,192,0,0,36.241789651989244,-115.22754847424538,Las Vegas
89130,Las Vegas,NV,shopping,11,108,24,622,7,62,1,22,36.24131735241563,-115.22689623717208,Las Vegas
89130,Las Vegas,NV,localservices,3,16,5,67,1,5,0,0,36.24373021674988,-115.22743080684268,Las Vegas
89412,Black Rock City,NV,restaurants,3,82,0,0,0,0,1,2,40.94966856445325,-119.44271576303399,Gerlach
89412,Black Rock City,NV,shopping,0,0,0,0,0,0,0,0,40.86,-119.32,Gerlach
89412,Black Rock City,NV,localservices,0,0,0,0,0,0,0,0,40.652578,-119.352507,Gerlach
89423,Minden,NV,restaurants,11,366,13,1248,1,87,0,0,38.964451537104395,-119.77079177990554,Minden
89423,Minden,NV,shopping,4,19,11,76,2,21,2,10,38.97721202707945,-119.76886854452081,Minden
89423,Minden,NV,localservices,1,2,3,24,1,3,0,0,38.98993173080241,-119.76109103576856,Minden
89445,Winnemucca,NV,restaurants,21,434,14,1700,0,0,0,0,40.96683794904773,-117.7384060731011,Winnemucca
89445,Winnemucca,NV,shopping,7,85,10,31,3,7,0,0,40.966691353255385,-117.74072442705506,Winnemucca
89445,Winnemucca,NV,localservices,1,2,0,0,0,0,0,0,40.980776317849084,-117.78788095527307,Winnemucca
89821,Crescent Valley,NV,restaurants,0,0,0,0,0,0,0,0,40.52,-116.36,Crescent Valley
89821,Crescent Valley,NV,shopping,0,0,0,0,0,0,0,0,40.52,-116.36,Crescent Valley
89821,Crescent Valley,NV,localservices,0,0,0,0,0,0,0,0,40.52,-116.36,Crescent Valley
03032,Auburn,NH,restaurants,2,36,1,9,0,0,0,0,43.0029358293048,-71.36205245040006,Auburn
03032,Auburn,NH,shopping,0,0,0,0,0,0,0,0,42.95194,-71.35198,Auburn
03032,Auburn,NH,localservices,0,0,0,0,0,0,0,0,42.99178218224973,-71.36339356651963,Auburn
03044,Fremont,NH,restaurants,0,0,1,57,0,0,0,0,42.98246930054797,-71.1277707025047,Fremont
03044,Fremont,NH,shopping,0,0,0,0,0,0,0,0,42.99,-71.14,Fremont
03044,Fremont,NH,localservices,0,0,0,0,0,0,0,0,42.979961015729934,-71.11926128652448,Fremont
03052,Litchfield,NH,restaurants,1,42,1,45,0,0,0,0,42.863849482266126,-71.4544012806719,Litchfield
03052,Litchfield,NH,shopping,0,0,1,9,0,0,0,0,42.79798,-71.45572,Litchfield
03052,Litchfield,NH,localservices,0,0,0,0,0,0,0,0,42.83,-71.46,Litchfield
03076,Pelham,NH,restaurants,3,51,6,144,0,0,0,0,42.71420538531088,-71.31739685579245,Pelham
03076,Pelham,NH,shopping,2,3,6,41,3,15,1,5,42.71691860966125,-71.31724112713061,Pelham
03076,Pelham,NH,localservices,1,2,0,0,1,1,0,0,42.72618345667725,-71.31864195794677,Pelham
03087,Windham,NH,restaurants,4,190,12,754,0,0,0,0,42.80551162821637,-71.29047543528705,Windham
03087,Windham,NH,shopping,0,0,7,57,2,12,1,7,42.80944152112156,-71.27327272089198,Windham
