zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
10011,New York,NY,40.74,-74.0,32,3022,73,21503,9,5411,2,219,5,22,60,2124,31,1867,8,109,4,20,27,1568,9,292,4,53,21.0,29920.0,7972017.0,120064.0,120555.0,457.0,43686.0,42690255.0,8256779.0,275.96186497326204,10011
10012,New York,NY,40.73,-74.0,27,6787,72,29086,28,19227,2,896,5,734,27,1454,49,1988,28,431,2,9,15,459,4,556,4,60,21.0,12470.0,3198885.0,32517.0,34248.0,85.0,21360.0,16780845.0,3287095.0,263.60024057738565,10012
10013,New York,NY,40.72,-74.0,25,5029,74,19505,13,2796,4,896,11,129,44,1842,27,754,14,141,6,300,18,433,3,37,0,0,21.0,14940.0,6301582.0,32246.0,74265.0,271.0,49022.0,34018701.0,6457386.0,432.22128514056226,10013
10014,New York,NY,40.73,-74.01,17,5524,72,28388,27,14716,4,2612,4,100,47,1232,45,656,14,131,5,412,18,548,7,114,1,12,21.0,18660.0,5552653.0,69506.0,67630.0,209.0,37168.0,29824122.0,5727166.0,306.92207931404073,10014
10015,New York,NY,40.71,-74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10016,New York,NY,40.75,-73.98,35,2926,81,23718,8,583,3,942,7,109,46,2191,25,798,11,62,9,249,29,1089,18,301,2,6,21.0,31940.0,6880658.0,109126.0,106443.0,422.0,50208.0,35795480.0,7146857.0,223.75882905447716,10016
10017,New York,NY,40.75,-73.97,42,3299,44,8796,7,3918,2,1061,5,70,55,1536,28,1148,7,87,3,25,13,410,4,44,2,32,21.0,11850.0,4001803.0,56926.0,70418.0,317.0,36875.0,21343678.0,4166339.0,351.58978902953584,10017
10018,New York,NY,40.76,-73.99,45,5350,60,12976,4,1141,0,0,7,89,49,1725,19,302,4,22,2,15,12,440,0,0,1,119,21.0,6390.0,2758456.0,16335.0,31875.0,68.0,26790.0,14914722.0,2833524.0,443.43098591549295,10018
10019,New York,NY,40.77,-73.99,30,4968,75,23401,18,8449,1,62,7,253,54,1644,23,494,11,63,4,232,20,440,9,213,2,26,21.0,25110.0,6507210.0,73155.0,77261.0,303.0,54638.0,34576664.0,6712567.0,267.32644364794896,10019
10020,New York,NY,40.76,-73.98,8,431,12,2215,9,3102,1,2667,2,38,8,676,8,236,2,33,1,20,0,0,1,29,0,0,,,,,,,,,,,
10021,New York,NY,40.77,-73.96,22,1754,59,14433,13,1507,6,854,6,43,40,680,36,522,8,74,5,127,17,155,7,239,4,23,21.0,23530.0,10564411.0,152806.0,195265.0,426.0,103630.0,57705902.0,11016538.0,468.1911602209945,10021
