,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
73,21,22270,1203173,109934,23683,1415,770,4815644,1338975,60.124607094746295,01201
74,21,4280,199386,19671,3302,255,0,737209,222614,52.012616822429905,01220
75,21,440,21010,1110,451,24,0,78446,22595,51.35227272727273,01222
76,21,1150,69810,8068,1381,97,0,282680,79356,69.00521739130434,01223
77,21,1690,99977,9881,1607,176,0,393729,111641,66.05976331360947,01225
78,21,3300,215629,19849,5730,314,173,900020,241695,73.24090909090908,01226
79,21,3760,283423,21579,8628,311,1143,1280186,315084,83.79893617021277,01230
80,21,1470,87898,7856,2127,139,0,353679,98020,66.68027210884354,01235
81,21,860,48558,3927,1213,56,0,196514,53754,62.5046511627907,01236
82,21,1550,95119,7811,2738,164,41,392994,105873,68.30516129032259,01237
83,21,3060,177552,16253,4073,227,41,723430,198146,64.75359477124184,01238
84,21,2510,235973,22364,5360,233,523,1097105,264453,105.3597609561753,01240
85,21,300,15511,1304,314,15,0,58515,17144,57.14666666666667,01242
86,21,140,10630,711,258,8,0,41185,11607,82.90714285714286,01243
87,21,170,14689,634,316,12,0,56522,15651,92.06470588235294,01244
88,21,400,28544,2844,767,38,0,123306,32193,80.4825,01245
89,21,6750,282595,27914,3517,298,0,1013870,314324,46.56651851851852,01247
90,21,460,31185,3357,511,38,0,120520,35091,76.28478260869565,01253
91,21,600,65940,4801,2029,75,259,317814,73104,121.84,01254
92,21,330,17554,1798,449,29,0,69506,19830,60.09090909090909,01255
93,21,370,18975,1602,327,27,0,69757,20931,56.57027027027027,01256
94,21,1240,83622,7200,2466,89,207,360490,93584,75.47096774193548,01257
95,21,380,31604,2267,821,31,95,142975,34818,91.62631578947368,01258
96,21,260,16493,867,428,14,0,63806,17802,68.46923076923076,01259
97,21,150,7293,467,156,0,0,26145,7916,52.77333333333333,01260
98,21,780,70495,5641,1969,76,123,331402,78304,100.38974358974359,01262
99,21,100,9003,618,174,4,0,36851,9799,97.99,01264
100,21,740,67655,5307,1845,82,384,309369,75273,101.72027027027028,01266
101,21,2910,303789,24042,9037,297,1226,1405179,338391,116.28556701030928,01267
102,21,390,25498,2914,511,41,0,99833,28964,74.26666666666667,01270
103,21,8310,420240,39788,10074,464,141,1656906,470707,56.64344163658243,01301
104,21,750,52837,4365,1444,58,53,225705,58757,78.34266666666667,01330
105,21,6240,300642,23394,5102,386,40,1141423,329564,52.81474358974359,01331
106,21,1350,81400,8245,2502,135,0,326850,92282,68.35703703703703,01337
107,21,140,7945,331,201,9,0,29413,8486,60.614285714285714,01338
108,21,730,37288,3895,1022,41,0,143687,42246,57.87123287671233,01339
109,21,870,45413,3805,1219,64,0,173095,50501,58.04712643678161,01340
110,21,830,75028,6126,2356,102,119,328010,83731,100.88072289156626,01341
111,21,700,48727,3305,1151,60,0,198399,53243,76.06142857142858,01342
112,21,780,38472,3309,395,41,0,140979,42217,54.12435897435898,01344
113,21,180,9067,1186,288,11,0,33470,10552,58.62222222222222,01346
114,21,400,19676,1581,423,21,0,72046,21701,54.2525,01349
115,21,1290,76378,7352,2289,99,0,310760,86118,66.75813953488372,01351
116,21,810,47685,4487,949,54,0,183292,53175,65.64814814814815,01354
117,21,470,27201,3004,733,35,0,106634,30973,65.9,01355
118,21,1520,89229,8592,2139,141,0,358680,100101,65.85592105263157,01360
119,21,3490,159912,13324,2926,169,0,590209,176331,50.52464183381089,01364
120,21,620,42845,3429,1152,59,0,179331,47485,76.58870967741936,01366
121,21,230,11240,1731,148,15,0,39593,13134,57.10434782608696,01367
122,21,570,34186,2914,602,52,0,127646,37754,66.23508771929825,01368
123,21,2040,112180,11576,2995,127,45,457177,126923,62.2171568627451,01370
124,21,2360,170578,18378,4698,239,152,728037,194045,82.22245762711864,01373
125,21,1840,109002,9953,2454,119,119,440387,121647,66.1125,01375
126,21,2530,105745,11073,1883,115,0,383604,118816,46.96284584980237,01376
127,21,360,17291,2150,485,15,0,63211,19941,55.391666666666666,01378
128,21,400,18816,2447,507,20,0,68978,21790,54.475,01379
129,21,18530,846302,60238,15519,1169,184,3245166,923412,49.83335132218025,01420
130,21,3070,214174,15627,7456,408,81,915749,237746,77.44169381107491,01430
131,21,1600,106538,6834,3348,196,13,451661,116929,73.080625,01431
132,21,4150,286600,16549,6552,414,136,1208500,310251,74.75927710843374,01432
133,21,210,19713,231,482,20,0,85393,20446,97.36190476190477,01434
134,21,1450,80231,5778,1201,102,0,300019,87312,60.215172413793105,01436
135,21,260,12932,1730,183,10,0,45738,14855,57.13461538461539,01438
136,21,9430,452679,34992,7923,574,38,1718568,496206,52.61993637327678,01440
137,21,5220,794759,21931,23532,963,2592,3825396,843777,161.64310344827587,01450
138,21,2490,457631,14568,16627,570,2158,2283465,491554,197.41124497991967,01451
139,21,2200,152900,10464,3966,267,11,645831,167608,76.18545454545455,01452
140,21,21390,1233283,73254,29328,1844,981,5073837,1338690,62.58485273492286,01453
141,21,4820,514065,20305,19962,769,416,2393486,555517,115.25248962655601,01460
142,21,5670,446097,30608,14856,748,195,1952680,492504,86.86137566137566,01462
143,21,5800,459714,24391,12675,775,112,2009601,497667,85.80465517241379,01463
144,21,3100,220071,14738,6252,349,64,936847,241474,77.89483870967742,01464
145,21,110,16892,0,515,21,0,76203,17428,158.43636363636364,01467
146,21,2130,131566,8758,2838,218,0,533467,143380,67.31455399061034,01468
147,21,3650,254052,17019,7437,460,29,1074264,278997,76.43753424657534,01469
148,21,4100,316980,24991,9282,561,132,1376198,351946,85.84048780487805,01473
149,21,1060,73234,4506,2428,124,0,313522,80292,75.74716981132076,01474
150,21,4690,243098,16317,4524,365,0,946135,264304,56.3547974413646,01475
151,21,8720,593553,45278,16621,977,233,2504401,656662,75.3052752293578,01501
152,21,1610,157353,8415,5502,271,300,720151,171841,106.7335403726708,01503
153,21,4720,304478,16778,8734,567,96,1277657,330653,70.05360169491526,01504
154,21,2370,263000,13055,7748,421,434,1228467,284658,120.10886075949367,01505
155,21,1620,102278,8301,2529,150,0,413569,113258,69.91234567901235,01506
156,21,6320,484653,27165,10641,846,173,2098905,523478,82.82879746835442,01507
157,21,7670,440419,28299,9802,659,88,1779635,479267,62.485919165580185,01510
158,21,1120,72622,5507,1706,109,0,294566,79944,71.37857142857143,01515
159,21,4500,344889,16209,10022,682,122,1511892,371924,82.64977777777777,01516
160,21,1520,147633,7621,4226,224,123,668515,159827,105.14934210526316,01518
161,21,3520,429835,16486,11476,605,401,2046470,458803,130.34176136363635,01519
162,21,7750,720426,47338,21453,1199,331,3251310,790747,102.03187096774194,01520
163,21,1210,83486,5517,2005,134,0,346777,91142,75.32396694214876,01521
164,21,1800,143356,8421,4104,235,21,630425,156137,86.74277777777777,01522
165,21,3090,287457,15596,10425,500,356,1316265,314334,101.72621359223301,01523
166,21,3390,218189,16460,4882,384,27,901280,239942,70.77935103244837,01524
167,21,230,10546,919,156,8,0,37522,11629,50.56086956521739,01525
168,21,7000,468404,29757,11397,803,204,1958587,510565,72.93785714285714,01527
169,21,1590,105359,5289,2964,198,25,445336,113835,71.59433962264151,01529
170,21,490,32431,3184,1013,45,0,131576,36673,74.84285714285714,01531
171,21,7850,878611,37697,28811,1328,1015,4145183,947462,120.69579617834395,01532
172,21,3110,251492,11746,5810,432,100,1104940,269580,86.68167202572347,01534
173,21,2280,132357,10115,2782,194,38,528536,145486,63.809649122807016,01535
174,21,3630,376741,16345,10046,538,271,1691736,403941,111.27851239669421,01536
175,21,1230,71093,4820,1524,110,0,286217,77547,63.046341463414635,01537
176,21,5710,353782,20710,8571,613,57,1462566,383733,67.20367775831873,01540
177,21,1790,194063,11503,6656,310,294,903150,212826,118.89720670391061,01541
178,21,1160,74755,6693,1550,113,0,298477,83111,71.64741379310345,01542
