zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
11370,East Elmhurst,NY,none,0,0,2,1155,0,0,0,0,40.763847915115,-73.89568408934346
11371,Flushing,NY,none,3,320,13,1217,1,36,0,0,40.771966137564704,-73.8697724387947
11372,Jackson Heights,NY,none,21,4299,29,8096,0,0,0,0,40.749593521682506,-73.88726506143189
11373,Elmhurst,NY,none,22,6411,29,6960,0,0,0,0,40.74061461886931,-73.8801785504631
11374,Rego Park,NY,none,5,392,22,4878,2,793,0,0,40.72696226636245,-73.86475164991542
11375,Forest Hills,NY,none,13,2835,64,22600,4,1301,0,0,40.71874467138721,-73.84517510375366
11377,Woodside,NY,none,5,1128,19,7223,0,0,0,0,40.74471916840864,-73.90943682791554
11378,Maspeth,NY,none,3,645,8,1709,0,0,0,0,40.72839372727273,-73.89580971818181
11379,Middle Village,NY,none,7,465,5,520,0,0,0,0,40.71835805538873,-73.8782115961645
11385,Ridgewood,NY,none,11,1280,20,3677,0,0,0,0,40.70306295080816,-73.89899440600124
11411,Cambria Heights,NY,none,8,72,6,107,0,0,0,0,40.694116024487826,-73.736807845023
11412,Saint Albans,NY,none,12,253,6,182,0,0,0,0,40.69890345973857,-73.75873567270447
11413,Springfield Gardens,NY,none,6,199,4,269,0,0,0,0,40.67542520933482,-73.74763262312304
11414,Howard Beach,NY,none,11,972,28,3388,3,369,1,123,40.65852967199211,-73.84086026861424
11415,Kew Gardens,NY,none,24,1967,10,1763,0,0,0,0,40.70880510863127,-73.83047108576075
11416,Ozone Park,NY,none,3,108,9,479,0,0,0,0,40.68531358118566,-73.84838628869224
11417,Ozone Park,NY,none,14,826,10,778,0,0,0,0,40.67866421336565,-73.84173369477499
11418,Richmond Hill,NY,none,4,226,10,886,0,0,0,0,40.701048923511095,-73.83319775062091
11419,South Richmond Hill,NY,none,8,530,15,1411,1,10,0,0,40.68888402399073,-73.82298648462995
11420,South Ozone Park,NY,none,10,715,5,548,2,550,0,0,40.67461346699949,-73.81699737097614
11421,Woodhaven,NY,none,10,268,12,591,0,0,0,0,40.69269435167233,-73.85774958808251
11422,Rosedale,NY,none,4,164,10,965,0,0,0,0,40.665525182277065,-73.7342755094615
11423,Hollis,NY,none,5,437,2,49,0,0,0,0,40.7152094015503,-73.76543277125243
11426,Bellerose,NY,none,8,435,11,933,0,0,0,0,40.735174950416145,-73.71880876259773
11427,Queens Village,NY,none,4,85,7,874,0,0,0,0,40.72911373820899,-73.74592900221816
11428,Queens Village,NY,none,17,617,5,295,0,0,0,0,40.71926025799608,-73.73912779323422
11429,Queens Village,NY,none,8,171,2,65,0,0,0,0,40.709068550000005,-73.74091218333334
11430,Jamaica,NY,none,6,267,24,3269,2,30,0,0,40.646881207793186,-73.78090768214327
11432,Jamaica,NY,none,23,1799,16,1359,0,0,0,0,40.711176326522015,-73.79422771191217
11433,Jamaica,NY,none,2,21,0,0,0,0,0,0,40.697675000000004,-73.792307
11434,Jamaica,NY,none,2,57,7,1232,0,0,0,0,40.67972602967871,-73.77518645379661
11435,Jamaica,NY,none,15,761,12,1344,0,0,0,0,40.70290089194488,-73.8102727086044
11436,Jamaica,NY,none,6,84,6,232,0,0,0,0,40.6736877874359,-73.79447448485988
11439,Jamaica,NY,none,1,1,1,5,0,0,0,0,40.721657346185395,-73.79556745718125
11691,Far Rockaway,NY,none,12,194,7,65,0,0,1,8,40.60166584544919,-73.7544848739771
11692,Arverne,NY,none,5,148,3,187,0,0,0,0,40.591934003019226,-73.79636302926401
11693,Far Rockaway,NY,none,17,668,10,1155,0,0,0,0,40.58929310544589,-73.8153567679142
11694,Rockaway Park,NY,none,14,278,23,1454,2,49,0,0,40.580764450051,-73.83547487040516
11697,Breezy Point,NY,none,2,26,1,35,1,86,0,0,40.558619188411555,-73.91428547541682
10451,Bronx,NY,none,8,344,13,1188,0,0,1,86,40.822272842326406,-73.92331531065705
10452,Bronx,NY,none,26,543,10,332,0,0,0,0,40.83714408382719,-73.91976549639934
10454,Bronx,NY,none,5,168,15,1627,0,0,0,0,40.80689072046255,-73.92254096244653
10455,Bronx,NY,none,1,120,3,253,0,0,0,0,40.81628413138725,-73.9143846093725
