zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence
16501,Erie,PA,42.12562150720017,-80.08307028937287,10,275,16,780,1,108,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,430,9028,485,0,0,0,29491,9513,22.12325581395349
16647,Hesston,PA,40.39605308886855,-78.09313320630595,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,21123,2447,205,0,0,76657,23775,60.96153846153846
16661,Madera,PA,40.82,-78.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,17265,1382,47,0,0,55419,18694,45.59512195121951
16665,Newry,PA,40.3931489981605,-78.4362728156224,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,200,7821,549,0,0,0,25246,8370,41.85
16669,Petersburg,PA,40.6712753,-77.87437249999998,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,49241,5331,396,0,0,173586,54968,53.366990291262134
16673,Roaring Spring,PA,40.33152009153442,-78.39185231844482,3,24,1,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2560,126295,10540,968,0,0,439430,137803,53.829296875
16740,Mount Jewett,PA,41.7416799,-78.68350966666667,1,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,25202,2625,112,0,0,83737,27939,49.891071428571436
16936,Millerton,PA,41.98,-76.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,44937,4570,475,0,0,156663,49982,51.52783505154639
17052,Mapleton Depot,PA,40.408791,-77.936683,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,28825,3081,172,0,0,95300,32078,46.48985507246377
17058,Mifflin,PA,40.51,-77.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,33558,2383,208,0,0,114898,36149,43.03452380952381
17098,Williamstown,PA,40.58,-76.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,47684,6601,200,0,0,152632,54485,49.08558558558558
17268,Waynesboro,PA,39.75282703014847,-77.56582720034109,13,195,12,295,1,18,0,0,4,5,8,22,1,1,0,0,0,0,0,0,0,0,0,0,14110,740802,81327,10752,133,372,2819906,833386,59.063501063075826
17365,Wellsville,PA,40.07081227914684,-76.92304870282709,1,6,2,22,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1330,84394,7247,1768,2,0,340439,93411,70.23383458646616
17366,Windsor,PA,39.91508,-76.580412,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690,133413,8171,3239,17,0,512038,144840,53.843866171003725
17772,Turbotville,PA,41.109981,-76.76687133333333,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,54059,4375,555,0,0,192107,58989,53.14324324324325
17812,Beaver Springs,PA,40.7485565653076,-77.20973297192384,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,28099,2512,202,0,0,93411,30813,42.79583333333333
17815,Bloomsburg,PA,41.01076951480624,-76.44862330392705,25,417,21,835,1,16,0,0,3,34,4,10,3,13,4,16,0,0,1,5,0,0,1,3,11790,677547,58021,8378,51,301,2658488,744298,63.12960135708227
17846,Millville,PA,41.11820666666666,-76.52834,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,89206,7668,1099,0,0,331825,97973,56.961046511627906
17878,Stillwater,PA,41.192,-76.30158,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,34620,3602,378,0,0,125225,38600,54.36619718309859
18103,Allentown,PA,40.57148049032999,-75.49483959889697,26,971,15,715,0,0,0,0,6,59,22,144,2,6,1,6,2,4,1,5,0,0,1,3,23890,1345592,95586,31310,369,1654,5584484,1474511,61.72084554206781
18428,Hawley,PA,41.436511725362145,-75.13754954667905,11,195,13,656,3,117,2,18,1,9,2,6,2,21,1,2,0,0,1,3,0,0,0,0,5650,332616,53206,7610,36,330,1324510,393798,69.6987610619469
18451,Paupack,PA,41.395282099955296,-75.243994984314,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,18451,1574,472,0,0,77673,20497,85.40416666666667
18517,Taylor,PA,41.382740100843975,-75.71281880087724,1,14,3,23,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,2580,106177,10133,878,2,0,365001,117190,45.42248062015504
18519,Dickson City,PA,41.462220428782814,-75.6368320003158,6,70,20,837,0,0,0,0,3,23,19,107,7,27,0,0,0,0,1,8,0,0,0,0,2720,119192,8424,1092,3,0,424851,128711,47.320220588235294
18801,Montrose,PA,41.83064486750028,-75.87117144319446,2,11,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950,212613,21700,2361,10,169,777265,236853,59.96278481012658
18833,New Albany,PA,41.6,-76.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,42139,4431,404,0,0,143722,46974,49.97234042553192
