zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10027,New York,NY,shopping,17,129,46,730,12,124,3,25,40.81,-73.95
10027,New York,NY,localservices,4,30,10,269,2,11,1,12,40.81,-73.95
10028,New York,NY,restaurants,25,2740,64,17826,19,3426,4,223,40.78,-73.95
10028,New York,NY,shopping,11,163,53,1858,22,637,7,132,40.78,-73.95
10028,New York,NY,localservices,7,102,22,261,6,75,3,31,40.78,-73.95
10029,New York,NY,restaurants,69,2939,37,3666,2,1025,2,13,40.79,-73.94
10029,New York,NY,shopping,25,265,29,273,4,29,5,37,40.79,-73.94
10029,New York,NY,localservices,9,120,9,59,3,13,1,9,40.79,-73.94
10030,New York,NY,restaurants,14,700,12,1718,1,104,0,0,40.82,-73.94
10030,New York,NY,shopping,4,73,7,76,2,57,0,0,40.82,-73.94
10030,New York,NY,localservices,4,22,4,40,0,0,0,0,40.82,-73.94
10031,New York,NY,restaurants,57,2192,39,7553,0,0,0,0,40.83,-73.95
10031,New York,NY,shopping,7,42,15,204,5,30,0,0,40.83,-73.95
10031,New York,NY,localservices,8,83,9,141,1,10,1,10,40.83,-73.95
10032,New York,NY,restaurants,55,2581,24,2414,0,0,1,10,40.84,-73.94
10032,New York,NY,shopping,14,58,18,250,2,32,2,3,40.84,-73.94
10032,New York,NY,localservices,6,49,5,33,3,26,0,0,40.84,-73.94
10033,New York,NY,restaurants,36,1447,33,5102,1,2,0,0,40.85,-73.93
10033,New York,NY,shopping,7,31,17,149,2,13,7,60,40.85,-73.93
10033,New York,NY,localservices,4,29,4,40,1,12,1,17,40.85,-73.93
10034,New York,NY,restaurants,35,1250,47,7043,1,90,0,0,40.87,-73.92
10034,New York,NY,shopping,5,59,14,215,2,7,1,3,40.87,-73.92
10034,New York,NY,localservices,3,20,4,56,1,4,0,0,40.87,-73.92
10035,New York,NY,restaurants,32,833,17,2013,0,0,0,0,40.8,-73.93
10035,New York,NY,shopping,13,114,21,894,0,0,1,1,40.8,-73.93
10035,New York,NY,localservices,2,12,2,22,0,0,0,0,40.8,-73.93
10036,New York,NY,restaurants,31,5398,81,37827,12,4130,8,2551,40.76,-73.99
10036,New York,NY,shopping,7,193,54,2194,18,544,3,37,40.76,-73.99
10036,New York,NY,localservices,3,60,6,212,2,8,0,0,40.76,-73.99
10037,New York,NY,restaurants,13,266,3,183,0,0,0,0,40.81,-73.94
10037,New York,NY,shopping,3,33,3,32,0,0,1,2,40.81,-73.94
10037,New York,NY,localservices,1,5,4,75,1,4,0,0,40.81,-73.94
10038,New York,NY,restaurants,39,3454,58,10372,7,1164,2,375,40.71,-74.0
10038,New York,NY,shopping,17,417,46,874,8,130,4,68,40.71,-74.0
10038,New York,NY,localservices,4,195,9,378,0,0,2,25,40.71,-74.0
10039,New York,NY,restaurants,17,202,8,435,0,0,0,0,40.83,-73.94
10039,New York,NY,shopping,2,13,4,42,0,0,2,5,40.83,-73.94
10039,New York,NY,localservices,1,4,3,44,1,7,0,0,40.83,-73.94
10040,New York,NY,restaurants,29,901,19,2291,1,469,0,0,40.86,-73.93
10040,New York,NY,shopping,10,39,10,122,0,0,0,0,40.86,-73.93
10040,New York,NY,localservices,5,30,2,9,0,0,0,0,40.86,-73.93
10041,New York,NY,restaurants,0,0,1,14,0,0,0,0,40.71,-73.99
10041,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10041,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10043,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10043,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10043,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10044,New York,NY,restaurants,4,155,2,180,0,0,0,0,40.76,-73.95
10044,New York,NY,shopping,2,14,0,0,0,0,0,0,40.76,-73.95
10044,New York,NY,localservices,1,1,0,0,0,0,1,10,40.76,-73.95
10045,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10045,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10045,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10046,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.01
10046,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.01
10046,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.01
10047,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.01
10047,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.01
10047,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.01
10048,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.01
10048,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.01
10048,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.01
10055,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10055,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10055,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10060,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10060,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10060,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10065,New York,NY,restaurants,14,901,47,8943,19,3505,5,2041,40.76,-73.96
10065,New York,NY,shopping,4,83,33,858,24,515,9,72,40.76,-73.96
10065,New York,NY,localservices,5,113,7,94,2,12,6,234,40.76,-73.96
10069,New York,NY,restaurants,1,45,1,87,0,0,0,0,40.78,-73.99
10069,New York,NY,shopping,0,0,0,0,0,0,0,0,40.78,-73.99
10069,New York,NY,localservices,0,0,0,0,0,0,0,0,40.78,-73.99
10072,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.75,-73.99
10072,New York,NY,shopping,0,0,0,0,0,0,0,0,40.75,-73.99
10072,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75,-73.99
10075,New York,NY,restaurants,12,2401,33,9894,5,2135,1,14,40.77,-73.95
10075,New York,NY,shopping,0,0,10,126,13,248,7,125,40.77,-73.95
10075,New York,NY,localservices,1,5,4,59,4,154,0,0,40.77,-73.95
10079,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.0
10079,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.0
10079,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.0
10080,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10080,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10080,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10081,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10081,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10081,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10082,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.77,-73.98
10082,New York,NY,shopping,0,0,0,0,0,0,0,0,40.77,-73.98
10082,New York,NY,localservices,0,0,0,0,0,0,0,0,40.77,-73.98
10087,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10087,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10087,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10090,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10090,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10090,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10094,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.0
10094,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.0
10094,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.0
10095,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10095,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10095,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10096,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.0
10096,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.0
10096,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.0
10098,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.75,-73.99
10098,New York,NY,shopping,0,0,0,0,0,0,0,0,40.75,-73.99
10098,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75,-73.99
10099,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-74.0
10099,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-74.0
10099,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.0
10101,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10101,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10101,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10102,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10102,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10102,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10103,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.76,-73.98
10103,New York,NY,shopping,0,0,0,0,0,0,0,0,40.76,-73.98
10103,New York,NY,localservices,0,0,0,0,0,0,0,0,40.76,-73.98
10104,New York,NY,restaurants,1,142,1,238,0,0,0,0,40.71,-73.99
10104,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10104,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10105,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10105,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10105,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10106,New York,NY,restaurants,0,0,0,0,1,505,0,0,40.71,-73.99
10106,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10106,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10107,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10107,New York,NY,shopping,0,0,1,29,1,32,0,0,40.71,-73.99
10107,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10108,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10108,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10108,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10109,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10109,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10109,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10110,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.75,-73.98
10110,New York,NY,shopping,1,7,1,68,2,28,0,0,40.75,-73.98
10110,New York,NY,localservices,0,0,0,0,1,18,0,0,40.75,-73.98
10111,New York,NY,restaurants,0,0,1,720,3,606,0,0,40.76,-73.98
10111,New York,NY,shopping,1,176,0,0,0,0,0,0,40.76,-73.98
10111,New York,NY,localservices,0,0,0,0,0,0,0,0,40.76,-73.98
10112,New York,NY,restaurants,6,362,4,405,2,334,1,236,40.76,-73.98
10112,New York,NY,shopping,0,0,6,216,8,338,2,19,40.76,-73.98
10112,New York,NY,localservices,0,0,1,14,0,0,0,0,40.76,-73.98
10113,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10113,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10113,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10114,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10114,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10114,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10115,New York,NY,restaurants,0,0,1,1,0,0,0,0,40.81,-73.96
10115,New York,NY,shopping,1,25,0,0,0,0,0,0,40.81,-73.96
10115,New York,NY,localservices,0,0,0,0,0,0,0,0,40.81,-73.96
10116,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10116,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10116,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10117,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10117,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10117,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10118,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10118,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10118,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10119,New York,NY,restaurants,5,398,7,1680,0,0,0,0,40.75,-73.99
10119,New York,NY,shopping,0,0,3,244,1,16,0,0,40.75,-73.99
10119,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75,-73.99
10120,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10120,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10120,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10121,New York,NY,restaurants,2,150,6,549,0,0,0,0,40.71,-73.99
10121,New York,NY,shopping,0,0,1,5,0,0,0,0,40.71,-73.99
10121,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10122,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10122,New York,NY,shopping,0,0,0,0,1,33,0,0,40.71,-73.99
10122,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10123,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10123,New York,NY,shopping,0,0,4,116,0,0,1,25,40.71,-73.99
10123,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10124,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10124,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10124,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10125,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10125,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10125,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10126,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10126,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10126,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10128,New York,NY,restaurants,31,2388,74,18033,7,1170,0,0,40.78,-73.95
10128,New York,NY,shopping,9,239,46,770,9,127,11,108,40.78,-73.95
